true;1001;Alex;20292928;1992-01-21;true;false;CRAWL;BUTTERFLY;BACKCRAWL
true;1002;Mikkel;92897373;1990-12-21;true;false;CRAWL;BUTTERFLY;BACKCRAWL;FREESTYLE
true;1003;alexander;209283823;1996-01-13;true;false;CRAWL;BUTTERFLY
false;1004;Oliver;28886474;1992-02-11;true;false
true;1005;Patrick;66121742;1904-05-06;true;true;CRAWL
true;1006;Marry;104218605;2021-08-28;false;false;BREASTSTROKE
true;1007;Allison;76397008;1909-01-20;false;false;BREASTSTROKE
true;1008;James;105846281;1939-05-18;false;false;BUTTERFLY
true;1009;Addison;81856650;1934-12-27;true;true;BUTTERFLY
true;1010;Jenny;97040393;1960-04-21;false;false;BACKCRAWL
true;1011;Bob;107205995;1949-10-01;false;false;BREASTSTROKE
true;1012;Patrick;82621872;1944-10-10;false;false;BACKCRAWL
true;1013;Allison;32434386;1996-07-21;false;false;FREESTYLE
true;1014;Jenny;103687759;2016-08-16;false;false;FREESTYLE
true;1015;Brim;59987711;1912-12-25;false;false;CRAWL
true;1016;Mike;23367144;1928-02-26;true;true;FREESTYLE
true;1017;Marry;62758360;1972-09-09;false;false;CRAWL
true;1018;Bob;16787501;2003-01-23;true;true;BACKCRAWL
true;1019;Henrik;77156009;2009-11-01;true;true;BUTTERFLY
true;1020;Bob;101888091;1914-04-16;false;false;BACKCRAWL
true;1021;Gordon;47426225;1957-11-22;false;false;CRAWL
true;1022;Jenny;74522697;2015-02-28;true;true;CRAWL
true;1023;Patrick;44777356;2021-12-01;false;false;BACKCRAWL
true;1024;Mike;110746496;1994-09-13;true;true;CRAWL
true;1025;Addison;53479577;1925-07-09;true;true;BUTTERFLY
true;1026;Mike;46118174;1989-07-07;false;false;FREESTYLE
true;1027;Jenifer;16205738;1946-10-04;true;true;CRAWL
true;1028;Allison;101039605;1949-08-12;false;false;BACKCRAWL
true;1029;Brim;24650352;2016-03-06;true;true;BUTTERFLY
true;1030;Addison;93255001;1902-08-17;false;false;BUTTERFLY
true;1031;Jenifer;68921882;1945-05-15;false;false;BREASTSTROKE
true;1032;Henrik;75241061;1902-09-19;true;true;FREESTYLE
true;1033;Patrick;110519156;1912-06-16;false;false;CRAWL
true;1034;Allison;26449817;1920-06-02;false;false;FREESTYLE
true;1035;Jenny;88449270;1903-09-14;false;false;BUTTERFLY
true;1036;Zoro;96779578;1990-08-23;true;true;BREASTSTROKE
true;1037;Patrick;89817263;1936-01-16;true;true;BREASTSTROKE
true;1038;Henrik;104977493;1965-08-14;true;true;CRAWL
true;1039;Henrik;95539782;1999-03-13;true;true;CRAWL
true;1040;Addison;59901246;1962-10-19;false;false;CRAWL
true;1041;Zoro;101222192;1908-07-14;true;true;BUTTERFLY
true;1042;Patrick;101562665;1978-10-16;false;false;CRAWL
true;1043;Jenny;35725200;1922-06-11;true;true;CRAWL
true;1044;James;24418772;1915-12-08;false;false;BREASTSTROKE
true;1045;Oliver;80227759;1965-01-19;true;true;CRAWL
true;1046;Allison;85736930;1960-09-14;true;true;BACKCRAWL
true;1047;Oliver;102365976;1961-12-15;false;false;BREASTSTROKE
true;1048;Patrick;72934997;1967-02-27;false;false;FREESTYLE
true;1049;Henrik;91332445;1963-06-05;true;true;FREESTYLE
true;1050;Addison;19572342;2005-12-28;true;true;FREESTYLE
true;1051;Henrik;87851336;1911-05-01;true;true;BUTTERFLY
true;1052;Marry;41987996;2003-08-22;true;true;FREESTYLE
true;1053;Jenny;89325246;1929-05-11;false;false;FREESTYLE
true;1054;Mike;106839816;1902-03-04;true;true;CRAWL
true;1055;Brim;79484347;2021-06-25;false;false;BACKCRAWL
true;1056;Henrik;95270260;1924-03-04;true;true;BREASTSTROKE
true;1057;James;22490996;1910-09-22;true;true;CRAWL
true;1058;Mike;74930331;1981-07-10;true;true;BACKCRAWL
true;1059;Brim;13421837;2011-07-19;false;false;BUTTERFLY
true;1060;Henrik;84859926;1917-11-26;false;false;BREASTSTROKE
true;1061;Jenifer;73659096;1902-11-09;false;false;CRAWL
true;1062;Allison;100257050;2011-11-17;false;false;BREASTSTROKE
true;1063;Zoro;109371271;2005-03-04;true;true;BREASTSTROKE
true;1064;Brim;76659831;1962-07-23;false;false;FREESTYLE
true;1065;Henrik;93167009;1962-07-13;false;false;BUTTERFLY
true;1066;Addison;18695064;1907-01-21;false;false;BREASTSTROKE
true;1067;Jason;47935962;1919-07-20;true;true;CRAWL
true;1068;Oliver;39436686;1994-08-28;false;false;BREASTSTROKE
true;1069;Pippy;81800239;1951-08-13;true;true;BUTTERFLY
true;1070;Gordon;76753423;1951-06-23;false;false;FREESTYLE
true;1071;Allison;82291334;1913-11-06;true;true;FREESTYLE
true;1072;Pippy;53914478;1994-02-20;false;false;BACKCRAWL
true;1073;James;21960729;1997-03-22;true;true;BREASTSTROKE
true;1074;James;77090700;1935-09-19;false;false;CRAWL
true;1075;Gordon;102574850;1955-02-03;false;false;FREESTYLE
true;1076;James;73212946;1990-12-28;true;true;CRAWL
true;1077;Oliver;96230087;2002-03-24;false;false;BACKCRAWL
true;1078;Henrik;59730186;2020-03-08;true;true;BACKCRAWL
true;1079;James;46862044;1963-09-02;false;false;CRAWL
true;1080;Jenny;88242307;1995-11-19;false;false;BUTTERFLY
true;1081;Liam;16742887;1983-10-01;true;true;CRAWL
true;1082;James;77618592;1903-08-11;true;true;FREESTYLE
true;1083;Mike;42535836;1921-08-03;true;true;FREESTYLE
true;1084;Oliver;91926724;1981-06-22;true;true;FREESTYLE
true;1085;Jenifer;41954790;1937-09-04;true;true;FREESTYLE
true;1086;Addison;12917078;1949-04-07;true;true;CRAWL
true;1087;Mike;94241965;1946-06-24;true;true;BREASTSTROKE
true;1088;Patrick;105933010;2012-11-01;false;false;FREESTYLE
true;1089;Patrick;56737076;1926-03-23;false;false;BACKCRAWL
true;1090;Allison;92668424;1908-06-05;true;true;FREESTYLE
true;1091;Gordon;82107055;1984-04-18;false;false;BUTTERFLY
true;1092;Patrick;96162760;1954-04-07;true;true;CRAWL
true;1093;Patrick;62186368;1958-10-02;false;false;FREESTYLE
true;1094;Oliver;67516906;1934-06-28;true;true;FREESTYLE
true;1095;Liam;26673441;1934-05-12;true;true;BACKCRAWL
true;1096;Mike;18364031;1941-05-16;true;true;BACKCRAWL
true;1097;Mike;74054698;1938-11-26;false;false;BACKCRAWL
true;1098;Henrik;77549272;1959-06-05;true;true;CRAWL
true;1099;Jason;64096629;2005-06-11;true;true;BREASTSTROKE
true;1100;Bob;27343138;1919-07-13;true;true;BACKCRAWL
true;1101;Jenifer;100698812;1905-06-03;false;false;BACKCRAWL
true;1102;James;61057760;1991-08-19;false;false;BUTTERFLY
true;1103;Jason;67928883;1929-11-14;true;true;BREASTSTROKE
true;1104;Liam;83910319;1965-10-26;true;true;BREASTSTROKE
true;1105;Jason;26125702;1980-08-08;true;true;FREESTYLE
true;1106;James;76873153;2009-11-06;false;false;BREASTSTROKE
true;1107;Jason;104766702;1920-02-21;false;false;BACKCRAWL
true;1108;Pippy;64244560;1930-10-16;true;true;BACKCRAWL
true;1109;Addison;89104777;1921-07-12;true;true;BUTTERFLY
true;1110;Patrick;80529095;1955-03-16;false;false;BACKCRAWL
